id;Nombre;Superficie;Precio ; Precio ;Latitud;Longitud;URL
63;Robinson Crusoe Recoleta;80;71.547.373;;-706.472;-33.391;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/robinson-crusoe-recoleta/1344166?o=mapa
50;A pasos de metro Zapadores y El Dorsal;94;120.000.000;;-706.395;-33.394;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/a-pasos-de-metro-zapadores-y-el-dorsal/1513759?o=mapa
37;Acogedora casa- Recoleta;95 ;122582969;;-706.449;-33.398;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/acogedora-casa-recoleta/1357094?o=mapa
58;la cascadas;148;95.530.374;;-706.213;-33.406;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/la-cascadas/1378162?o=mapa
7;Villa Lemu - AV PERU;2203;34.585.093.670;1.205.568;-70.639;-33.418;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/villa-lemu-av-peru/1441942?o=listado_caluga_img
26;Linda casa familiar en Recoleta;285;128.000.000;4.461;-70.638;-33.418;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/linda-casa-familiar-en-recoleta/1197871?o=listado_caluga_img
20;AV. PERU -  DOS CASAS - AV PERU 472  50M2;472;243.100.417;8.474;-70.641;-33.421;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/av-peru-pano-dos-casas-av-peru-472-50m2/1400851?o=listado_caluga_img
4;Metro Cerro Blanco;300;692.810.370;24.150;-70.644;-33.423;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/metro-cerro-blanco/1306794?o=listado_caluga_img
11;Av.Peru;137;315.565.800;11.000;-70.643;-33.423;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/av-peru/1440646?o=listado_caluga_img
12;SANTOS DUMONT / AV PERU;218;411.957.615;14.360;-70.641;-33.423;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/santos-dumont-av-peru/1043357?o=listado_caluga_img
5;Cerro Blanco;255;421.710.660;14.700;-70.644;-33.424;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/cerro-blanco/1297891?o=listado_caluga_img
8;Cerro Blanco - Av Peru / Maestra Lidia Torres;192;300.000.000;10.457;-70..64;-33.424;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/cerro-blanco-av-peru-maestra-lidia-torres/1287505?o=listado_caluga_img
13;Recoleta/Rengifo;90;157.000.000;5.472;-7.064.586.945;-3.342.393.584;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/recoleta-rengifo/616114?o=listado_caluga_img
16;Tabar 725;104;240.202.949;8.373;-70.642;-33.424;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/tabare-725-recoleta-metro-estacion-cerro-blanco-linea-2/1287354?o=listado_caluga_img
9;Av.Peru;192;358.597.500;12.500;-70.639;-33.425;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/av-peru/1444655?o=listado_caluga_img
18;GRAN CASA DE 2 PISOS 3 D + 3 B + SERVICIO COMPLETO + LOGIA Y ESTACIONAMIENTO. A 1 CUADRA DE AV. PERU;177;332.778.480;11.600;-70.642;-33.425;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/gran-casa-de-2-pisos-3-d-3-b-servicio-completo-logia-y-estacionamiento-a-1-cuadra-de-av-peru/1075316?o=listado_caluga_img
19;DOMINICA / METRO CERRO BLANCO;78;60.000.000;2.091;-70.644;-33.425;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/dominica-metro-cerro-blanco/1441071?o=listado_caluga_img
22;RECOLETA / LA VEGA CENTRAL / ZONA MIXTA;203;220.000.000;7.668;-70.649;-33.425;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/recoleta-la-vega-central-zona-mixta/1204813?o=listado_caluga_img
17;Propiedad apta para uso Industrial  Bodegaje Taller y/o Residencial;478;450.000.000;15.686;-70.647;-33.426;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/propiedad-apta-para-uso-industrial-bodegaje-taller-y-o-residencial/1370563?o=listado_caluga_img
6;Dominica - Buenos Aires;324;260.000.000;9.063;-70.642;-33.427;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/dominica-buenos-aires/1483045?o=listado_caluga_img
23;Casa barrio patronato;324;269.665.320;9.400;-70.641;-33.428;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/casa-barrio-patronato/1453544?o=listado_caluga_img
10;LORETO / BUENOS AIRES;324;270.000.000;9.411;-70.641;-33.429;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/loreto-buenos-aires/1508612?o=listado_caluga_img
21;Rio de Janeiro 417;155;143.668.502;5.008;-70.642;-33.429;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/rio-de-janeiro-417/1295464?o=listado_caluga_img
15;Barrio Bellavista;320;479.086.260;16.700;-70.639;-33..43;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/barrio-bellavista/1207985?o=listado_caluga_img
3;Metro Baquedano - Antonia Lope De Bello-Dadignac;318 ;479.086.260;16.700;-70.638;-33.431;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/metro-baquedano-antonia-lope-de-bello-dadignac/1413410?o=listado_caluga_info
25;Casa en Patronato;210;418.841.880;14.600;-70.641;-33.431;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/casa-en-patronato/1478363?o=listado_caluga_img
27;Pasaje Cruz 260;45;35.000.000;1.220;-70..64;-33.431;https://www.toctoc.com/propiedades/compraparticularsr/casa/recoleta/pasaje-cruz-260-recoleta/1455702?o=listado_caluga_img
28;Casa Comercial Patronato;180;430.317.000;15.000;-70.641;-33.431;https://www.toctoc.com/propiedades/compraparticularsr/casa/recoleta/casa-comercial-patronato/1021799?o=listado_caluga_img
14;Patronato - Loreto con Dardignac;625;499.511.973;17.412;-70.642;-33.432;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/patronato-loreto-con-dardignac/756754?o=listado_caluga_img
2;Purisima / Barrio Bellavista;50;44.466.090;1.550;-70.639;-33.433;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/purisima-barrio-bellavista/1364686?o=listado_caluga_info
24;Casa Recoleta;172;152.045.340;5.300;-70.639;-33.433;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/casa-recoleta/1277832?o=listado_caluga_img
32;heroe pablo ortega;76 ;67301578;;-706.385;-333.854;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/heroe-pablo-ortega/1448661?o=mapa
29;Casa de 1 Piso en Las Brisas;100;70000000;;-706.486;-333.866;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/casa-de-1-piso-en-las-brisas/1461330?o=mapa
42;Metro Zapadores - Hanga Roa/Montana;68;90.000.000;;-706.535;-333.896;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/metro-zapadores-hanga-roa-montana/1402158?o=mapa
31;AMPLIA CASA ESQUINA CON BUENA MUY BUENA CONECTIVIDAD;104 ;123000000;;-706.414.731;-334.312.122;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/amplia-casa-esquina-con-buena-muy-buena-conectividad/1389807?o=mapa
74;Metro Zapadores/Leoncio Villablanca;122;120.000.000;;-70.644;-333.897;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/metro-zapadores-leoncio-villablanca/1449906?o=mapa
73;Toqui Lautaro;94;88.932.180;;-706.413;-333.898;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/toqui-lautaro/1507375?o=mapa
72;Casa a pasos de metro Zapadores;65;105.000.000;;-706.404;-333.905;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/casa-a-pasos-de-metro-zapadores/1513817?o=mapa
49;Metro Zapadores/CALLE BOGOTA;120;89.000.000;;-70.646;-333.915;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/metro-zapadores-calle-bogota/1488901?o=mapa
70;Cementerio Israelita - Zapadores con Jose Sto Ossa;190;150.000.000;;-706.378;-333.918;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/cementerio-israelita-zapadores-con-jose-sto-ossa/1261077?o=mapa
69;Cementerio Israelita - Metro Zapadores;221;220.000.000;;-706.354;-333.922;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/cementerio-israelita-metro-zapadores/1354142?o=mapa
71;ZAPADORES;110;115.000.000;;-706.406;-333.922;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/zapadores/1420268?o=mapa
67;Santa Ana/Los Zapadores;85;100.000.000;;-706.315;-333.945;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/santa-ana-los-zapadores/1389956?o=mapa
48;Recoleta // Poblacion San Marcos/Huachipato / Metro Dorsal;155;88.000.000;;-706.436;-333.947;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/recoleta-poblacion-san-marcos-huachipato-metro-dorsal/1424782?o=mapa
38;METRO DORSAL;80;4357;;-706.467;-333.963;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/metro-dorsal/1262173?o=mapa
61;Calle dos 3135;60;58.000.000;;-706.479;-333.984;https://www.toctoc.com/propiedades/compracorredorasr/departamento/recoleta/calle-dos-3135/1408691?o=mapa
30;Santa Adela /Av. El Salto;50;140000000;;-70.625;-333.988;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/santa-adela-av-el-salto/1365387?o=mapa
46;AV Recoleta / Av el Salto;195;190.000.000;;-706.374;-334.015;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/av-recoleta-av-el-salto/1352810?o=mapa
52;El Salto-Las Torres - Alberto/ Munoz Gamero;56;55.000.000;;-706.368;-334.018;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/el-salto-las-torres-alberto-munoz-gamero/1475032?o=mapa
